Clade (upper)|Clade|Order|Family|Taxonomic status|Accepted name|Accepted author|Genome size|Sexual system|Method for the primary characterisation of sex determining system|Miscellaneous genomic information|Source gen contents|Chromosome number|Ploidy level|Sex determination mechanism|Sex chromosomes MALE|Sex chromosomes FEMALE|Heteromorphic/homomorphic sex chromosomes|Source|species
Angiosperms|Eudicots|Caryophyllales|Amaranthaceae|Synonym|Amaranthus cuspidatus|Vis.||Dioecy|Study of sex ratios in interspecific crosses|||32||Male heterogamety|XY|XX|Homomorphic|Murray 1940|acnida_cuspidata
Angiosperms|Eudicots|Caryophyllales|Amaranthaceae|Synonym|Amaranthus palmeri|S. Watson|0.95|Dioecy|Illumina RNAseq based male specific STSs|||34 ( in some populations 32)|2x|Male heterogamety|XY|XX|Homomorphic|Montgomery et al 2019|acnida_palmeri
Angiosperms|Eudicots|Caryophyllales|Amaranthaceae|Synonym|Amaranthus tamariscinus|Nutt.||Dioecy|Study of sex ratios in interspecific crosses|||32|2x|Male heterogamety|XY|XX|Homomorphic|Murray 1940|acnida_tamariscina
Angiosperms|Eudicots|Caryophyllales|Amaranthaceae|Synonym|Amaranthus tuberculatus|(Moq.) J. D. Sauer|1.4|Dioecy|Study of sex ratios in interspecific crosses|||32|2x|Male heterogamety|XY|XX|Homomorphic|Murray 1940|acnida_tuberculata
Angiosperms|Eudicots|Ericales|Actinidiaceae|Accepted|Actinidia arguta|(Siebold & Zucc.) Planch. ex Miq.|3.10 (4x)|Dioecy|Study of sex ratios in interspecific crosses|||116|4x|Male heterogamety|XXXY|XXXX|Homomorphic|Testolin et al 1995|actinidia_arguta
Angiosperms|Eudicots|Ericales|Actinidiaceae|Accepted|Actinidia chinensis|Planch.|1.50|Dioecy|Genetic mapping of EST based markers|ACTINIDIA SPP. - FOR ALL - Gene SyGl (Shy girl) located in the Y-specific region. Type-C cytokinine response regulator, dominant supressor of carpel development.|Akagi et al 2018|58|2x|Male heterogamety|XY|XX|Homomorphic|Fraser et al 2009|actinidia_chinensis
Angiosperms|Eudicots|Ericales|Actinidiaceae|Accepted|Actinidia chinensis|Planch.|1.50|Dioecy|Genetic mapping of EST based markers|Two sex-linked random amplified polymorphic DNA (RAPD) markers identified from Actinidia chinensis were converted into sequence-characterised amplified regions (SCARs). Sex determining genes in linkage map, sex determining genes SmX and SmY (PCR, RAPD), sex-related SSR markers.|Gill et al 1998|58|2x|Male heterogamety|XY|XX|Homomorphic|Fraser et al 2009|actinidia_chinensis
Angiosperms|Eudicots|Ericales|Actinidiaceae|Accepted|Actinidia chinensis|Planch.|1.50|Dioecy|Genetic mapping of EST based markers|15 differentially expressed genes (DEGs) isolated and sequenced. 11 DEGs exhibited significant sequence similarity with known function of genes or ESTs of kiwifruit. KiwiDEG1 encodes partial open reading frame (ORF) for pectin methylesterase, which plays an important role in pollen development as a cell-wall modifying enzyme. It was abundantly expressed in male floral buds suggesting its functional role in pollen development. KiwiDEG9 - full-length ORF for adenosine diphosphate (ADP)-ribosylation factor, which is a small guanosine-5'-triphosphate (GTP)-binding protein and plays an essential role in vesicle trafficking. Its expression is higher in male floral buds.|Kim et al 2010|58|2x|Male heterogamety|XY|XX|Homomorphic|Fraser et al 2009|actinidia_chinensis
Angiosperms|Eudicots|Ericales|Actinidiaceae|Accepted|Actinidia chinensis|Planch.|1.50|Dioecy|Genetic mapping of EST based markers|Differentially expressed transcription factors between sexes. MYC and MYB transcription factor family.|Tang et al 2017|58|2x|Male heterogamety|XY|XX|Homomorphic|Fraser et al 2009|actinidia_chinensis
Angiosperms|Eudicots|Ericales|Actinidiaceae|Accepted|Actinidia chinensis|Planch.|1.50|Dioecy|Genetic mapping of EST based markers|AP2/ERF and bZIP TF families enriched in male flowers.|Tang et al 2017|58|2x|Male heterogamety|XY|XX|Homomorphic|Fraser et al 2009|actinidia_chinensis
