species|ecology|status|trends|world distribution
Acaena novae-zelandiae|A prostrate dwarf perennial herb of freely-draining soil, naturalised in sparsely vegetated sites subject to moderate disturbance. Habitats include sand dunes, cliffs, heaths, conifer plantations on sandy soils, old gravel workings, roadsides and disused railways. Reproduction is from seed, and sometimes from pieces of rooted stolon. Lowland.|Neophyte|This species was introduced to Britain as a wool contaminant and its spread into semi-natural habitats was often from woollen mills; it was first recorded in the wild in 1901. However, some colonies appear to have resulted from the dumping of garden refuse. It can be very persistent, and its spread continues in some areas.|Native of Australia and New Zealand.
Acer campestre|A deciduous tree, native in woodland, scrub and old hedgerows on a wide range of moist, usually base-rich, soils. It is also widespread as a planted tree in amenity areas, on farmland, along roads and in hedgerows and coppice. It fruits erratically, sometimes producing only male flowers following a year of prolific fruiting. 0-380 m (Llanthony, Brecon).|Native|Since the 1962 Atlas there have been many more records of A. campestre from S.W. England and S. Wales. It has also been very extensively planted both within and beyond its native range, and these introductions tend to blur the boundary of its native range.|European Temperate element.     © S. Hammonds
Acer platanoides|A deciduous tree planted in woodland, hedgerows, amenity areas, gardens and along roads. It tolerates a wide range of soil types and is frequently self-sown, becoming naturalised in secondary woodland, rough grassland, scrub and urban waste land. Generally lowland, but reaching 340 m at Alston (Cumberland).|Neophyte|A. platanoides was in cultivation in Britain by 1683, and has been known from the wild since at least 1905. Trends in its distribution are difficult to assess, but it is probably increasing due to continued planting.|A European Temperate species, absent as a native from much of western Europe.     © S. Hammonds
Acer pseudoplatanus|A large, rapidly growing deciduous tree of plantations, woods, parkland, estates, large gardens and roadsides, prolifically self-sowing and naturalised in a very wide range of natural, semi-natural and man-made habitats, avoiding only the most acidic and waterlogged soils. In upland areas, however, it is often restricted to sites associated with habitation. 0-580 m (Dowgang Hush, Cumberland).|Neophyte|A. pseudoplatanus was introduced to Britain in the 16th century and was widely planted from the late 18th century onwards; it was first recorded from the wild in 1632. There has been little change in its distribution since the 1962 Atlas.|A European Temperate species, mainly found in the mountains of C. & S. Europe.     © P. Shannon
Aceras anthropophorum|This tuberous perennial herb is found in old chalk-pits and limestone quarries, calcareous grassland and on road verges. It tolerates considerable shade and is often found at the edge of scrub with grasses such as Brachypodium pinnatum. Continuous heavy grazing is detrimental, eventually causing its demise. Lowland.|Native|By 1930 most East Anglian populations of this species had been destroyed by ploughing. Similar fates have since eliminated more sites, and others have been lost to scrub encroachment, spray drift and inappropriate roadside cutting regimes. Morphological and molecular (Bateman et al., 1997) evidence suggests that Aceras belongs in the genus Orchis.|Mediterranean-Atlantic element.     © L. Rooney
Achillea millefolium|A perennial herb found in all kinds of grassland habitats, ranging from lawns to montane communities irrigated by melting snow-beds; also found on coastal sand dunes and stabilised shingle, waysides and waste ground. It tolerates drought, and grows in most soils except the most nutrient-poor, permanently waterlogged or strongly acidic. 0-1210 m (Ben Lawers, Mid Perth).|Native|There has been no significant change in the distribution of A. millefolium since the 1962 Atlas.|Eurasian Boreo-temperate element, but naturalised in N. America so distribution is now Circumpolar Boreo-temperate.     © S. Hammonds
Achillea ptarmica|A perennial herb of damp or wet habitats on a wide range of soils, including fen- and water-meadows, rush-pasture, marshes, streamsides, wet heath, springs and flushes on hill slopes and occasionally in wet woodland. It is also established from cultivation in churchyards, and on roadsides and waste ground. 0-770 m (Cross Fell, Cumberland).|Native|A. ptarmica was mapped as `all records` in the 1962 Atlas. It is now better recorded in some areas, but has declined in others. Analysis of the database reveals that while many losses occurred before 1950, they have accelerated since then; most are due to drainage and habitat destruction.|Eurasian Boreo-temperate element; widely naturalised outside its native range.     © S. Hammonds
Aconitum napellus|These tuberous perennial herbs grow on calcareous to slightly acidic soil along stream banks, often in shade, in damp, open woodland and sometimes in damp meadows, and as aliens on roadsides, waste ground and rubbish tips. Generally lowland, but reaching 460 m at Quarnford (Staffs.).|Native|All records of A. napellus sens. str. and A. x cammarum are mapped here. The British A. napellus is regarded as the endemic subsp. napellus, suggesting that it is native, but the species has long been grown in gardens and was not recorded in the wild until 1821. It may be over-recorded as a supposed native in the Welsh Marches.|European Temperate element.
Aconitum napellus sens. lat.||||
Acorus calamus|A rhizomatous perennial herb growing at the margins of streams, canals, ponds and lakes in shallow, nutrient-rich calcareous water. The European plant is a sterile triploid. Lowland.|Neophyte|A. calamus was introduced into England in the 16th century and by 1668 was established in the wild. It appears to be more widespread than when mapped in the 1962 Atlas, probably due to better recording as the plant flowers shyly in our area and may well have been overlooked in the past.|Native plants are diploid (Siberia, N. America) or tetraploid (S. & E. Asia); the origin of the triploid is unknown but it is naturalised in Europe & W. Asia, the Himalayas and eastern N. America.     © P. Shannon
