Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
" Ramalina farinacea","Lichen","Genetic diversity assessment","","European","del Campo, Eva M., Catala, Santiago, Gimeno, Jacinta, del Hoyo, Alicia, Martinez-Alberola, Fernando, Casano, Leonardo M., Grube, Martin, Barreno, Eva","2013","The genetic structure of the cosmopolitan three-partner lichen Ramalina farinacea evidences the concerted diversification of symbionts","Fems Microbiology Ecology","83:310-323","Empirical paper","","","","The epiphytic lichen Ramalina farinacea is distributed throughout the northern hemisphere in which the same two algal Trebouxia species (provisionally named TR1 and TR9) coexist in every thallus. Ramalina farinacea symbionts were characterized based on the two fungal nuclear loci (nrITS and rpb2) along with the primary and secondary structures of nrITS from each Trebouxia species in the Iberian Peninsula and Canary Islands. The results indicated a noticeable genetic differentiation between mycobionts from these two geographic areas and also suggested concerted changes in the three partners of a lichen symbiosis toward two clearly distinguishable holobiont lineages. Modeling of ITS2 RNA secondary structures suggested their temperature sensitivity in TR1 but not in TR9, which was consistent with the observed superior physiological performance of TR9 phycobionts under relatively high temperatures. Both TR1 and TR9 phycobionts have been also found in a variety of taxonomically distinct lichens with a preferably Mediterranean distribution, being TR1 much more widespread than TR9. Our observations support a model in which ecological diversification and speciation of lichen symbionts in different habitats could include a transient phase consisting of associations with more than one photobiont in individual thalli. Such diversification is likely to be promoted by different physiological backgrounds."
"Bactrospora dryina","Lichen","Gene flow","","European","Nadyeina, O, Zarabska-Bozejewicz, D, Wiedmer, A, Cornejo, C, Scheidegger, C","2017","Polymorphic fungus-specific microsatellite markers of Bactrospora dryina reveal multiple colonizations of trees","Lichenologist","49:561-577","Empirical paper","","","","Bactrospora dryina is an epiphytic lichen-forming fungus specifically related to old-growth floodplain forests, which have dramatically declined in Europe over the past centuries. In order to promote conservation management of such forest remnants, we aimed to study population genetics of this rare and threatened lichen. The newly developed 16 microsatellite markers are specific for the mycobiont of B. dryina and reliably amplify either single fruiting bodies or a sterile thallus. This allows the use of these markers for the identification of sterile crusts and for quantification of recent dispersal of the species into restored habitats. We tested the markers in 264 samples collected from 10 pedunculate oak trees growing in three localities in north-eastern Switzerland. All markers were polymorphic and showed two to five alleles per locus, and unbiased gene diversity varied from 0.06 to 0.71 over three populations. The relatively low number of alleles in B. dryina is possibly the consequence of colonization of secondary habitats created by forest management. Although oaks were largely covered with a single, continuous B. dryina colony, the microsatellite markers identified single or complex multi-genotype colonizations per tree. For future population genetic studies, we recommend collection of 5-15 specimens from one tree which would enable detection of 60-80% of the multilocus genotypes present. Hierarchical AMOVA revealed high variation (70%) on host trees, and a relatively high differentiation (12%) among the three locations in NE Switzerland indicated limited gene flow between those regions. Thus, the newly developed markers showed their applicability in population genetics at different spatial scales. They will play an important role in monitoring habitat restoration for the conservation of B. dryina and associated forests and riverscapes."
"Biatora britannica","Lichen","Taxonomic clarification","Nuclear sequences","Country: Wales","Printzen, C, Lumbsch, HT and Orange, A","2001","Biatora britannica sp. nov. and the occurrence of Biatora efflorescens in the British Isles.","Lichenologist","33: 181-187.","Empirical paper","","","",""
"Bryoria capillaris ","Lichen","Marker development","","European","Nadyeina, Olga, Cornejo, Carolina, Boluda, Carlos G, Myllys, Leena, Rico, Victor J, Crespo, Ana, Scheidegger, Christoph","2014","Characterization of microsatellite loci in lichen-forming fungi of Bryoria section Implexae (Parmeliaceae).","Applications In Plant Sciences","2","Empirical paper","","","","PREMISE OF THE STUDY: The locally rare, haploid, lichen-forming fungi Bryoria capillaris, B. fuscescens, and B. implexa are associated with boreal forests and belong to Bryoria sect. Implexae. Recent phylogenetic studies consider them to be conspecific. Microsatellite loci were developed to study population structure in Bryoria sect. Implexae and its response to ecosystem disturbances. METHODS AND RESULTS: We developed 18 polymorphic microsatellite markers using 454 pyrosequencing data assessed in 82 individuals. The number of alleles per locus ranged from two to 13 with an average of 4.6. Nei's unbiased gene diversity, averaged over loci, ranged from 0.38 to 0.52. The markers amplified with all three species, except for markers Bi05, Bi15, and Bi18. CONCLUSIONS: The new markers will allow the study of population subdivision, levels of gene introgression, and levels of clonal spread of Bryoria sect. Implexae. They will also facilitate an understanding of the effects of forest disturbance on genetic diversity of these lichen species."
"Bryoria fuscescens","Lichen","Marker development","","European","Nadyeina, Olga, Cornejo, Carolina, Boluda, Carlos G, Myllys, Leena, Rico, Victor J, Crespo, Ana, Scheidegger, Christoph","2014","Characterization of microsatellite loci in lichen-forming fungi of Bryoria section Implexae (Parmeliaceae).","Applications In Plant Sciences","2","Empirical paper","","","","PREMISE OF THE STUDY: The locally rare, haploid, lichen-forming fungi Bryoria capillaris, B. fuscescens, and B. implexa are associated with boreal forests and belong to Bryoria sect. Implexae. Recent phylogenetic studies consider them to be conspecific. Microsatellite loci were developed to study population structure in Bryoria sect. Implexae and its response to ecosystem disturbances. METHODS AND RESULTS: We developed 18 polymorphic microsatellite markers using 454 pyrosequencing data assessed in 82 individuals. The number of alleles per locus ranged from two to 13 with an average of 4.6. Nei's unbiased gene diversity, averaged over loci, ranged from 0.38 to 0.52. The markers amplified with all three species, except for markers Bi05, Bi15, and Bi18. CONCLUSIONS: The new markers will allow the study of population subdivision, levels of gene introgression, and levels of clonal spread of Bryoria sect. Implexae. They will also facilitate an understanding of the effects of forest disturbance on genetic diversity of these lichen species."
"Bryoria implexa ","Lichen","Marker development","","European","Nadyeina, Olga, Cornejo, Carolina, Boluda, Carlos G, Myllys, Leena, Rico, Victor J, Crespo, Ana, Scheidegger, Christoph","2014","Characterization of microsatellite loci in lichen-forming fungi of Bryoria section Implexae (Parmeliaceae).","Applications In Plant Sciences","2","Empirical paper","","","","PREMISE OF THE STUDY: The locally rare, haploid, lichen-forming fungi Bryoria capillaris, B. fuscescens, and B. implexa are associated with boreal forests and belong to Bryoria sect. Implexae. Recent phylogenetic studies consider them to be conspecific. Microsatellite loci were developed to study population structure in Bryoria sect. Implexae and its response to ecosystem disturbances. METHODS AND RESULTS: We developed 18 polymorphic microsatellite markers using 454 pyrosequencing data assessed in 82 individuals. The number of alleles per locus ranged from two to 13 with an average of 4.6. Nei's unbiased gene diversity, averaged over loci, ranged from 0.38 to 0.52. The markers amplified with all three species, except for markers Bi05, Bi15, and Bi18. CONCLUSIONS: The new markers will allow the study of population subdivision, levels of gene introgression, and levels of clonal spread of Bryoria sect. Implexae. They will also facilitate an understanding of the effects of forest disturbance on genetic diversity of these lichen species."
"Caloplaca aurantia","Lichen","Genetic diversity & landscape management +  Genetic diversity assessment","Isozyme/Allozyme","Euro-Asian","Nevo, E, ApelbaumElkaher, I, et al.","1997","Natural selection causes microscale allozyme diversity in wild barley and a lichen at 'Evolution Canyon', Mt Carmel, Israel","Heredity","78: 373-382","Empirical paper","","","","Allozymic diversity was studied for proteins encoded by 28 putative loci in 170 plants of wild barley, Hordeum spontaneum, and for 13 loci in 78 different thalli of the lichen Caloplaca aurantin, from the Lower Nahal Oren microsite, Mt. Carmel, Israel, designated by us 'Evolution Canyon'. The samples of wild barley were collected from six stations: three (upper, middle, lower) on the south-facing slope (SF-slope) and three (lower, middle, upper) on the north-facing slope (NF-slope). The samples of C. aurantia were collected from three stations: two (middle and upper) on the SF-slope and one (upper) on the NF-slope. Higher solar radiation on the SF- than on the NF-slope makes it warmer, drier, spatiotemporally more heterogeneous, and climatically more fluctuating and stressful. Consequently, it exhibits an open park forest representing an 'African' savanna landscape. Significant inter- and intraslope allozymic differentiation was found in both organisms with generally higher polymorphism, heterozygosity, allele and gene diversity on the more variable and stressful upper station of the SF-slope, as expected by the niche-width variation hypothesis, and the environmental theory of genetic diversity. Solar radiation, temperature and aridity stress caused interslope and intraslope differences on the SF-slope in genotypes and phenotypes of wild barley and the lichen at the 'Evolution Canyon' microsite, as was the case for beetles, diplopods and earthworms tested at the site. Diversifying natural (microclimatic) selection appears to be the major evolutionary driving force causing interslope and SF-intraslope adaptative genetic divergence. 'Evolution Canyon' proves an optimal model for unravelling evolution in action, across life and organizational levels."
"Cavernularia hultenii","Lichen","Phylogeography","Nuclear sequences","Euro-North American","Printzen, C and Ekman, S","2002","Genetic variability and its geographical distribution in the widely disjunct Cavernularia hultenii","Lichenologist","34: 101-111","Empirical paper","","","","The fruticose lichen Cavernularia hultenii exhibits a strongly disjunct distribution between north-western North America, Newfoundland and north-western Europe. An investigation of its population structure, based on nuclear ITS and IGS DNA sequences, shows that western North America has a higher number of haplotypes than the two other areas. Most of the haplotypes confined to this region are rare and occur outside the area that was affected by Pleistocene glaciations. Three haplotypes are common in all three areas. The high number of haplotypes in western North America might be due to a combination of events during the Pleistocene and Holocene epochs, viz. increased lineage survival by repeated fragmentation of populations and reduced lineage extinction through rapid postglacial expansion and population growth."
"Cavernularia hultenii","Lichen","Phylogeography","Nuclear sequences","Euro-North American","Printzen, C, Ekman, S, et al.","2003","Phylogeography of Cavernularia hultenii: evidence of slow genetic drift in a widely disjunct lichen","Molecular Ecology","12: 1473-1486","Empirical paper","","","","Population structure and history is poorly known in most lichenized ascomycetes. Many species display large-scale infraspecific disjunctions, which have been explained alternately by range fragmentation in species of high age and widespread long-distance dispersal. Using the lichen Cavernularia hultenii, which is widely disjunct across North America and Europe, Pleistocene and Holocene population history was inferred. The internal transcribed spacer (ITS) and part of the the intergenic spacer (IGS) region of the nuclear ribosomal DNA were sequenced in 300 individuals representing 62 populations across the range of the species. While four ancestral haplotypes are found in all areas, none of the observed tip haplotypes is present in more than one of the three part ranges. Although this is evidence for a past fragmentation event, nested clade analysis (NCA) remains equivocal in the choice between allopatric fragmentation and long-distance dispersal. Mismatch distributions indicate exponential population growth, probably during postglacial invasion of C. hultenii into formerly glaciated areas of western North America. The presence of one southern and at least one northern glacial refugium in South Central Alaska is inferred. Evidence for another refugium in the Queen Charlotte Islands or Alexander Archipelago is inconclusive because of sparse sampling. However, a range expansion was not confirmed unambiguously by NCA. The limited power of NCA to infer past range fragmentations and expansions is due apparently to the shallow haplotype network and widespread ancestral haplotypes. This can be explained by slow genetic drift causing incomplete removal of ancestral haplotypes from the postfragmentation and postexpansion areas."
"Cetraria aculeata","Lichen","Genecology","","Worldwide","Domaschke, S., Vivas, M., Sancho, L. G., Printzen, C.","2013","Ecophysiology and genetic structure of polar versus temperate populations of the lichen Cetraria aculeata","Oecologia","173:699-709","Empirical paper","","","","We studied polar and temperate samples of the lichen Cetraria aculeata to investigate whether genetical differences between photobionts are correlated with physiological properties of the lichen holobiont. Net photosynthesis and dark respiration (DR) at different temperatures (from 0 to 30 A degrees C) and photon flux densities (from 0 to 1,200 mu mol m(-2) s(-1)) were studied for four populations of Cetraria aculeata. Samples were collected from maritime Antarctica, Svalbard, Germany and Spain, representing different climatic situations. Sequencing of the photobiont showed that the investigated samples fall in the polar and temperate clade described in Fernandez-Mendoza et al. (Mol Ecol 20:1208-1232, 2011). Lichens with photobionts from these clades differ in their temperature optimum for photosynthesis, maximal net photosynthesis, maximal DR and chlorophyll content. Maximal net photosynthesis was much lower in Antarctica and Svalbard than in Germany and Spain. The difference was smaller when rates were expressed by chlorophyll content. The same is true for the temperature optima of polar (11 A degrees C) and temperate (15 and 17 A degrees C) lichens. Our results indicate that lichen mycobionts may adapt or acclimate to local environmental conditions either by selecting algae from regional pools or by regulating algal cell numbers (chlorophyll content) within the thallus."
