Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Adiantum capillus-veneris","Fern","Breeding system +  Genetic diversity assessment +  Marker development","Nuclear microsatellite","European","Pryor KV, Young, JE, Rumsey, FJ, Edwards, KJ, Bruford, MW and Rogers, HJ","2001","Diversity, genetic structure and evidence of outcrossing in British populations of the rock fern Adiantum capillus-veneris using microsatellites.","Molecular Ecology","10: 1881-1894.","Empirical paper","","","","Microsatellites were isolated and a marker system was developed in the fern Adiantum capillusveneris. Polymorphic markers were then used to study the genetic diversity and structure of populations within the UK and Ireland where this species grows at the northern edge of its range, requiring a specific rock habitat and limited to a few scattered populations. Three dinucleotide loci detected a high level of diversity (23 alleles and 28 multilocus genotypes) across the UK and Ireland, with nearly all variation partitioned among rather than within populations. Of 17 populations represented by multiple samples, all except four were monomorphic. Heterozygosity was detected in three populations, all within Glamorgan, Wales (UK), showing evidence of outcrossing. We make inferences on the factors determining the observed levels and patterns of genetic variation and the possible evolutionary history of the populations."
"Adiantum capillus-veneris","Fern","Marker development","To confirm","","Hasebe, M and Iwatsuki, K","1990","Adiantum capillus-veneris chloroplast DNA clone bank - as useful heterologous probes in the systematics of the leptosporangiate ferns.","American Fern Journal","80: 20-25.","Empirical paper","","","",""
"Adiantum capillus-veneris","Fern","Marker development","To confirm","","Hasebe, M and Iwatsuki, K","1990","Chloroplast DNA from Adiantum capillus-veneris L., a fern species (Adiantaceae) - clone bank, physical map and unusual gene localization in comparison with angiosperm chloroplast DNA.","Current Genetics","17: 359-364.","Empirical paper","","","",""
"Adiantum capillus-veneris","Fern","Marker development","To confirm","","Hasebe, M and Iwatsuki, K","1992","Gene localization on the chloroplast DNA of the maiden hair fern – Adiantum capillus-veneris.","Botanical Magazine-Tokyo","105: 413-419.","Empirical paper","","","","Gene maps were constructed for the inverted repeat region and for the adjacent large single copy region of the chloroplast genome of the maiden hair fern, Adiantum capillus-veneris L. Gene order and organization was very different from the typical angiosperm chloroplast genome (eg. tobacco). Elongation of inverted repeat and a minimum of two inversions must be postulated to account for the unusual genome structure."
"Adiantum capillus-veneris","Fern","Taxonomic clarification","Isozyme/Allozyme","Asian","Ito, M, Soejima, A and Wada, M","1992","Low genetic differentiation between Adiantum capillus-veneris L.and A ogasawarense tagawa (Adiantaceae), an endemic pteridophyte of the Bonin (Ogasawara) islands.","Botanical Magazine-Tokyo","105: 161-165.","Empirical paper","","","","Genetic differentiation was examined between Adiantum capillus- veneris L. and A. ogasawarense Tagawa. A total of 136 individuals from two populations of A. ogasawarense and three populations of A. capillus-veneris were sampled. Allozymes encoded by 19 putative loci for nine enzyme systems were observed. The populations of A. ogasawarense are genetically differentiated from those of A. capillus-veneris ; conspecific populations cluster together. However, genetic identity between two species was estimated to be 0.815, and indicates that the degree of allozyme differentiation is lower than those between endemic flowering plants and their progenitors. It is possible that the low genetic differentiation observed between A. ogasawarense and A. capillus-veneris results from a recent origin of the endemic species, A. ogasawarense."
"Adiantum capillus-veneris","Fern","Marker development","Organelle sequences","","Wolf, PG, Rowe, CA, Sinclair, RB and Hasebe, M","2003","Complete nucleotide sequence of the chloroplast genome from a leptosporangiate fern, Adiantum capillus-veneris L..","DNA Research","10: 59-65.","Empirical paper","","","","We determined the complete nucleotide sequence of the chloroplast genome of the leptosporangiate fern, Adiantum capillus-veneris L. (Pteridaceae). The circular genome is 150,568 bp, with a large single-copy, region (LSC) of 82,282 bp, a small-single copy region (SSC) of 21,392 bp and inverted repeats (IR) of 23,447 bp each. We compared the sequence to other published chloroplast genomes to infer the location of. putative genes. When the IR is considered only once, we assigned 118 genes, of which 85 encode proteins, 29 encode tRNAs and 4 encode rRNAs. Four protein-coding genes, all four rRNA genes and six tRNA genes occur in the IR. Most (57) putative protein-coding genes appear to start with an ATG codon, but we also detected five other possible start codons, some of which suggest tRNA editing. We also found 26 apparent stop codons in 18 putative genes, also suggestive of RNA editing. We found all but one of the tRNA genes necessary to encode the complete repertoire required for translation. The missing trnK gene appears to have been disrupted by a large inversion, relative to other published chloroplast genomes. We detected several structural rearrangements that may provide useful information for phylogenetic studies."
"Adiantum capillus-veneris","Fern","DNA barcoding +  Marker development","Organelle sequences","Northern Hemisphere","Duffy, AM Kelchner, SA Wolf, PG","2009","Conservation of selection on matK following an ancient loss of its flanking intron","Gene","32: 24-30","Empirical Paper","","","","The chloroplast gene trnK and its associated group II intron appear to
 be absent in a large and ancient clade that includes nearly 90% of fern
 species. However, the maturase protein encoded within the intron (matK)
 is still present and located on the boundary of a large-scale
 inversion. We surveyed the chloroplast genome sequence of clade-member
 Adiantum capillus-veneris for evidence of a still present but
 fragmented trnK intron. Lack of signature structural domains and
 sequence motifs in the genome indicate loss of the trnK intron through
 degradation in an ancestor of the clade. In plants, matK preferentially
 catalyzes splicing of the trnK intron, but may also have a generalist
 function, splicing other group II introns in the chloroplast genome. We
 therefore tested whether a shift in selective constraint has occurred
 after loss of the trnK intron. Using previously unavailable sequences
 for several ferns, we compared matK sequences of the intron-less fern
 clade to sequences from seed plants and ferns with the intron and found
 no significant differences in selection among lineages using multiple
 methods. We conclude that matK in ferns has maintained its apparently
 ancient and generalized function in chloroplasts, even after the loss
 of its co-evolved group II intron. Finally, we also present primers
 that will allow amplification and nucleotide sequencing of the
 phylogenetically useful matK gene in additional fern taxa."
"Anogramma leptophylla","Fern","Taxonomic clarification","AFLP","","Nakazato, T, Gastony, GJ","2003","Molecular phylogenetics of Anogramma species and related genera (Pteridaceae : Taenitidoideae).","Systematic Botany","28: 490-502.","Empirical paper","","","","Anogramma is a genus of eight putative species with small annual sporophytes and potentially perennating gametophytes. Phylogenetic relationships within the genus as well as its relationships with other putatively taenitidoid genera and with traditionally cheilanthoid Cosentinia vellea have been poorly resolved and are investigated here. Maximum parsimony, maximum likelihood, and Bayesian inference analyses of rbcL sequences were used to test 1) the monophyly of Anogramma, 2) support for the proposed specific distinctness of A. guatemalensis and A. caespitosa from A. leptophylla, and 3) the asserted close (sister) relationship between Anogramma and Pityrogramma, as well as to infer the phylogenetic relationships among these genera. Results reveal that Anogramma in the traditional sense is polyphyletic. Anogramma guatemalensis and A. caespitosa nest within A. leptophylla. Pityrogramma is not sister to Anogramma as a whole but only to A. chaerophylla and A. novogaliciana. Anogramma osteniana is deeply separated from its traditional congeners and the new combination Jamesonia osteniana (Dutra) Gastony is made. Cosentinia vellea should not be subsumed within Cheilanthes but instead should be considered a taenitidoid genus closely related to A. leptophylla and A. lorentzii. Neighbor joining analysis of Amplified Fragment Length Polymorphism data sets inferred relationships among the A. leptophylla accessions, embedding A. guatemalensis and A. caespitosa in respective New World and Old World clades of A. leptophylla."
"Asplenium ceterach","Fern","Hybridisation +  Phylogeography +  Polyploidy","Organelle sequences","Euro-African-Asian","Trewick, SA, Morgan Richards, M, Russell, SJ, Henderson, S, Rumsey, FJ, Pinter, I, Barrett, JA, Gibby, M and Vogel, JC","2002","Polyploidy, phylogeography and Pleistocene refugia of the rock fern, Asplenium ceterach: evidence from chloroplast DNA.","Molecular Ecology","11: 2003-2012.","Empirical paper","","","","Chloroplast DNA sequences were obtained from 331 Asplenium ceterach plants representing 143 populations from throughout the range of the complex in Europe, plus outlying sites in North Africa and the near East. We identified nine distinct haplotypes from a 900 bp fragment of trnL-trnF gene. Tetraploid populations were encountered throughout Europe and further afield, whereas diploid populations were scarcer and predominated in the Pannonian-Balkan region. Hexaploids were encountered only in southern Mediterranean populations. Four haplotypes were found among diploid populations of the Pannonian-Balkans indicating that this region formed a northern Pleistocene refugium. A separate polyploid complex centred on Greece, comprises diploid, tetraploid and hexaploid populations with two endemic haplotypes and suggests long-term persistence of populations in the southern Mediterranean. Three chloroplast DNA (cpDNA) haplotypes were common among tetraploids in Spain and Italy, with diversity reducing northwards suggesting expansion from the south after the Pleistocene. Our cpDNA and ploidy data indicate at least six independent origins of polyploids."
"Asplenium ceterach","Fern","Hybridisation +  Polyploidy +  Taxonomic clarification","Organelle sequences","","Pinter, I, Bakker, F, Barrett, J, Cox, C, Gibby, M, Henderson, S, Morgan-Richards, M, Rumsey, F, Russell, S, Trewick, S, Schneider, H, Vogel, J","2002","Phylogenetic and biosystematic relationships in four highly disjunct polyploid complexes in the subgenera Ceterach and Phyllitis in Asplenium (Aspleniaceae).","Organisms Diversity & Evolution","2: 299-311.","Empirical paper","","","","Phylogenetic studies using DNA sequences of two chloroplast regions, rbcL and trnL-F, demonstrate that the proposed genus Ceterach is a small clade within the large genus Asplenium, and sister to the Phyllitis clade. The Ceterach clade is characterised by irregular anastomosing veins and often densely scaled leaf blades. Its taxonomic status as a group nested within Asplenium is confirmed, and it is accepted here as a subgenus with seven species. The Ceterach clade comprises four lineages that correspond to disjunct polyploid complexes: the A. aureum clade forming a polyploid complex (4x, 6x, 8x) in Macaronesia, the A. ceterach clade forming a polyploid complex (2x, 4x, 6x) in the Mediterranean Basin, the A. paucivenosum clade (4x, 6x) in central Asia, and the A. dalhousiae clade (2x) with a disjunct distribution in the Himalaya, Yemen and Eritrea, and southwestern North America. Asplenium paucivenosum is sister to all other members of the Ceterach clade, whereas A. dalhousiae is sister to the A. aureum clade that includes tetraploid A. aureum, hexaploid A. lolegnamense, and octoploid A. parvifolium. Asplenium ceterach and its variations - including the hexaploid A. ceterach subsp. mediterraneum subsp. nov. first described below - form a monophyletic unit, sister to a clade consisting of A. aureum and A. dalhousiae. Asplenium cordatum from Africa and A. haugthonii from the isolated atlantic island of St. Helena are not members of the Ceterach clade, which suggests that leaf blades with dense indumenta have evolved at least twice within asplenioid ferns. The allotetraploid species A. hybridum has the chloroplast DNA from A. ceterach, and therefore the latter species is the maternal ancestor of the former The other parent of this hybrid species is A. sagittatum that is nested within the sister clade of Ceterach, the Phyllitis clade comprising A. sagittatum and A. scolopendrium. The findings suggest that the current distribution of Ceterach is either the result of long-distance dispersal or represents fragmented relicts of a previously more widely distributed species."
