Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Agrostis curtisii","Flowering plant","Conservation +  Genetic diversity & landscape management +  Genetic diversity assessment","Isozyme/Allozyme","","Gray, AJ","1997","Genecology, the genetic system and the conservation genetics of uncommon British plants.","The role of genetics in conserving small populations.","56-64.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Arabidopsis thaliana","Flowering plant","Genecology +  Genetic diversity assessment +  Quantitative trait analysis","To confirm","Worldwide","Shindo, C Bernasconi, G Hardtke, CS","2007","Natural genetic variation in Arabidopsis: Tools, traits and prospects for evolutionary ecology","Annals of Botany","99: 1043-1054","Summary paper","","","","Background The model plant Arabidopsis thaliana (Arabidopsis) shows a wide range of genetic and trait variation among wild accessions. Because of its unparalleled biological and genomic resources, the potential of Arabidopsis for molecular genetic analysis of this natural variation has increased dramatically in recent years. Scope Advanced genomics has accelerated molecular phylogenetic analysis and gene identification by quantitative trait loci (QTL) mapping and/or association mapping in Arabidopsis. In particular, QTL mapping utilizing natural accessions is now becoming a major strategy of gene isolation, offering an alternative to artificial mutant lines. Furthermore, the genomic information is used by researchers to uncover the signature of natural selection acting on the genes that contribute to phenotypic variation. The evolutionary significance of such genes has been evaluated in traits such as disease resistance and flowering time. However, although molecular hallmarks of selection have been found for the genes in question, a corresponding ecological scenario of adaptive evolution has been difficult to prove. Ecological strategies, including reciprocal transplant experiments and competition experiments. and utilizing near-isogenic lines of alleles of interest will be a powerful tool to measure the relative fitness of phenotypic and/or allelic variants. Conclusions As the plant model organism, Arabidopsis provides a wealth of molecular background information for evolutionary genetics. Because genetic diversity between and within Arabidopsis populations is much higher than anticipated, combining this background information with ecological approaches might well establish Arabidopsis as a model organism for plant evolutionary ecology."
"Betula pendula","Flowering plant","","","","Eriksson, I and Jonsson, A","1986","A review of the genetics of Betula","Scandinavian Journal of Forest Research","1: 421-434","Summary paper","","","",""
"Betula pubescens","Flowering plant","","","","Eriksson, I and Jonsson, A","1986","A review of the genetics of Betula","Scandinavian Journal of Forest Research","1: 421-434","Summary paper","","","",""
"Callitriche brutia","Flowering plant","Taxonomic clarification","Isozyme/Allozyme","","Demars, BOL and Gornall, RJ","2000","Identification of British Callitriche species by means of isozymes.","BSBI News","87: 75.","Summary Paper","","","",""
"Callitriche hamulata","Flowering plant","Taxonomic clarification","Isozyme/Allozyme","","Demars, BOL and Gornall, RJ","2000","Identification of British Callitriche species by means of isozymes.","BSBI News","87: 75.","Summary Paper","","","",""
"Callitriche platycarpa","Flowering plant","Taxonomic clarification","Isozyme/Allozyme","","Demars, BOL and Gornall, RJ","2000","Identification of British Callitriche species by means of isozymes.","BSBI News","87: 75.","Summary Paper","","","",""
"Callitriche stagnalis","Flowering plant","Taxonomic clarification","Isozyme/Allozyme","","Demars, BOL and Gornall, RJ","2000","Identification of British Callitriche species by means of isozymes.","BSBI News","87: 75.","Summary Paper","","","",""
"Carex montana","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
"Carum verticillatum","Flowering plant","Conservation +  Genetic diversity assessment","Isozyme/Allozyme","Country: England-WalesCountry: WalesEuropean","Kay, QON and John, RF","1997","Patterns of variation in relation to the conservation of rare and declining plant species.","The role of genetics in conserving small populations.","41-55.","Summary Paper","Tew T.E., Crawford,T.J., Spencer J.W., Stevens D.P., Usher M.B.  and Warren J.","JNCC.","Peterborough.",""
