Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Algal species to confirm","Algae","Marker development","To confirm","","Provan, J, Murphy, S and Maggs, S","2004","Universal plastid primers for Chlorophyta and Rhodophyta","European Journal of Phycology","39: 43-50","Empirical paper","","","","To date, the majority of molecular genetic studies in algae have utilized a fairly limited range of markers such as the plastid rbcL gene and spacer, the mitochondrial cox2-3 spacer or the nuclear ribosomal DNA and spacers. The lack of available markers has been particularly problematic in studies of within-species variation. Whilst microsatellites are now being developed in many algal species, there remains a need for universal markers that can be applied to a wide range of species.
The increasing availability of complete plastid genome sequences for several algae has allowed us to develop two sets of universal primers, similar to those available in higher plants, for the amplification of coding and non-coding regions of the plastid genome in red and green algae. These markers are expected to be useful in a broad range of algal population genetic and phylogenetic studies."
"Blidingia chadefaudii","Algae","Taxonomic clarification","Nuclear sequences","Country: IrelandEuropeanLocal: Irish vice-county area","Blomster, J, Maggs, CA and Stanhope, MJ","1999","Extensive intraspecific morphological variation in Enteromorpha muscoides (Chlorophyta) revealed by molecular analysis.","Journal of Phycology","35: 575-586.","Empirical paper","","","",""
"Blidingia sp.","Algae","Marker development +  Taxonomic clarification","Nuclear sequences","Country: IrelandCountry: WidespreadEuro-North AmericanLocal: Irish vice-county area","Blomster, J, Hoey, EM, Maggs, CA and Stanhope, MJ","2000","Species-specific oligonucleotide probes for macroalgae: molecular discrimination of two marine fouling species of Enteromorpha (Ulvophyceae).","Molecular Ecology","9: 177-186.","Empirical paper","","","","The green seaweeds Enteromorpha intestinalis and E. compressa are important fouling organisms commonly found in polluted and nutrient-enriched marine and brackish water habitats, where they are used in environmental monitoring. Discrimination of the two species is extremely difficult because of overlapping morphological characters. In this study a quick molecular method for species identification was developed based on the nuclear rDNA ITS2 sequence data of 54 E. intestinalis samples and 20 E. compressa samples from a wide geographical range. Oligonucleotide probes were designed for species-specific hybridization to dot-blots of the PCR-amplified ITS1, 5.8S gene and ITS2 fragment of both E. intestinalis and E. compressa . Specificity of the oligonucleotide probes was confirmed by tests with taxonomically diverse species that could morphologically be confused with E. intestinalis or E. compressa . This is the first use of species-specific probes for macroalgae. The restriction endonuclease Nru I digested specifically the amplified PCR product from E. compressa into two fragments detectable on agarose gels, but no suitable restriction sites were identifiable in the PCR product of E. intestinalis."
"Ceramium botryocarpum","Algae","Taxonomic clarification","Organelle sequences +  Organelle southern RFLP","Country: IrelandCountry: Wales-IrelandCountry: WidespreadEuropeanLocal: Irish vice-county area","Maggs, CA, Ward, BA, McIvor, L, Evans, MC, Rueness, J and Stanhope, MJ","2003","Molecular analysis elucidate the taxonomy of fully corticated non-spiny species of Ceramium (Ceramiaceae, Rhodophyta) in the British isles.","Phycologia","41: 409-420.","Empirical paper","","","",""
"Ceramium deslongchampsii","Algae","Taxonomic clarification","Organelle sequences +  Organelle southern RFLP","Country: IrelandCountry: Wales-IrelandCountry: WidespreadEuropeanLocal: Irish vice-county area","Maggs, CA, Ward, BA, McIvor, L, Evans, MC, Rueness, J and Stanhope, MJ","2003","Molecular analysis elucidate the taxonomy of fully corticated non-spiny species of Ceramium (Ceramiaceae, Rhodophyta) in the British isles.","Phycologia","41: 409-420.","Empirical paper","","","",""
"Ceramium pallidum","Algae","Taxonomic clarification","Organelle sequences +  Organelle southern RFLP","Country: IrelandCountry: Wales-IrelandCountry: WidespreadEuropeanLocal: Irish vice-county area","Maggs, CA, Ward, BA, McIvor, L, Evans, MC, Rueness, J and Stanhope, MJ","2003","Molecular analysis elucidate the taxonomy of fully corticated non-spiny species of Ceramium (Ceramiaceae, Rhodophyta) in the British isles.","Phycologia","41: 409-420.","Empirical paper","","","",""
"Ceramium secundatum","Algae","Taxonomic clarification","Organelle sequences +  Organelle southern RFLP","Country: IrelandCountry: Wales-IrelandCountry: WidespreadEuropeanLocal: Irish vice-county area","Maggs, CA, Ward, BA, McIvor, L, Evans, MC, Rueness, J and Stanhope, MJ","2003","Molecular analysis elucidate the taxonomy of fully corticated non-spiny species of Ceramium (Ceramiaceae, Rhodophyta) in the British isles.","Phycologia","41: 409-420.","Empirical paper","","","",""
"Ceramium strictum","Algae","Taxonomic clarification","Nuclear sequences +  Organelle sequences","Euro-North American","Gabrielsen, T","2003","Phylogeny and interfertility of North Atlantic populations of 'Ceramium strictum' (Ceramiales, Rhodophyta): how many species?","European Journal of Phycology","38: 1-13.","Empirical paper","","","",""
"Ceramium virgatum","Algae","Taxonomic clarification","Organelle sequences +  Organelle southern RFLP","Country: IrelandCountry: Wales-IrelandCountry: WidespreadEuropeanLocal: Irish vice-county area","Maggs, CA, Ward, BA, McIvor, L, Evans, MC, Rueness, J and Stanhope, MJ","2003","Molecular analysis elucidate the taxonomy of fully corticated non-spiny species of Ceramium (Ceramiaceae, Rhodophyta) in the British isles.","Phycologia","41: 409-420.","Empirical paper","","","",""
"Chara aspera","Algae","Genetic diversity assessment","AFLP","European","Blindow, I Mollmann, N Boegle, MG Schutte, M","2009","Reproductive isolation in Chara aspera populations","Aquatic Botany","32: 24-30","Empirical Paper","","","","Possible reproductive isolation between freshwater and brackish water
 populations of the dioecious charophyte Chara aspera Was Studied by
 means of cross-fertilization experiments and AFLP (Amplified Fragment
 Length Polymorphism). Three Swedish freshwater populations and three
 (German and Swedish) Baltic Sea populations of C. aspera were sampled.
 Cross-fertilization experiments were performed in a full combination
 setup of all populations and with two different salinities (0 and 10
 PSU). Both freshwater and brackish water females formed about 70% more
 gametangia at 0 than at 10 PSU. Male individuals collected from
 freshwater had higher fertility than brackish water males at both
 salinities. 57% of all gametangia of females from freshwater developed
 into oospores compared to only 8% of gametangia of brackish water
 females. 42% of all oospores were fertilized in crosses between
 habitats (freshwater-brackish water) compared to 36% in crosses within
 habitats, the difference was not significant.
 Oospore and bulbil germination was investigated using propagules from
 freshwater and brackish water populations and incubation salinities of
 0, 5, 10 and 20 PSU. None of the oospores collected from brackish water
 germinated. Germination of oospores and bulbils from freshwater was
 higher at 0 and 5 PSU than at higher salinities. Only around 40% of
 bulbils from brackish water germinated at 20 PSU compared to around 70%
 at the other three salinities. Germination of all bulbils was delayed
 at 20 PSU compared to other salinities.
 Genetic similarities (Jaccard indices of AFLP data) were higher within
 than between populations, but comparisons within habitat
 (freshwater-freshwater and brackish water-brackish water) were not
 different from comparisons between habitats.
 Our results did not identify any reproductive isolation between
 freshwater and brackish water populations, but indicate low gene flow
 between the two habitats. Oospore and bulbil germination success were
 highest at salinities corresponding to the conditions of their original
 habitat, suggesting genetic adaptation to their environmental
 conditions and indicating that propagules transported from freshwater
 to brackish water or vice versa will hardly develop into fertile
 plants. Additionally, brackish water plants perform poorer in all
 aspects of sexual reproduction than freshwater plants. Possibly,
 Successful dispersal of oospores is not subjected to high selective
 pressure within the Baltic Sea where new sites easily can be colonized
 by means of vegetative reproduction. We assume that these adaptations
 will favour speciation within C. aspera and support the idea of the
 geologically young Baltic Sea as a "cradle of plant evolution"."
