Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
" Pseudoscleropodium purum","Bryophyte","Gene flow +  Genetic diversity assessment","","European","Boquete, MT, Spagnuolo, V, Fernandez, JA, Aboal, JR, Imperatore, I, Giordano, S","2016","Genetic structuring of the moss Pseudoscleropodium purum sampled at different distances from a pollution source","Ecotoxicology","25:1812-1821","Empirical paper","","","","In this study, we used amplified fragment length polymorphism analysis to investigate the genetic structure of the terrestrial moss Pseudoscleropodium purum (Hedw.) M. Fleish. naturally exposed to different levels of atmospheric deposition of heavy metals. We also determined the heavy metal concentrations in samples of this moss to evaluate whether there was a relationship between atmospheric pollution and population genetic diversity. A low level of genetic diversity and a limited gene flow among populations were observed which is in accordance to the prevalence of asexual reproduction in this species. In addition, no significant correlation was found between metal content and gene diversity in P. purum, probably because of the common history of the sampled populations and/or to the lack of a drastic reduction of the size of the population; nonetheless, a clear genetic structure was evident in relation to the existing pollution gradient. Thus, based on the results of the principal coordinate analysis and Bayesian analysis of the genotypes, the mixed structure of the second most polluted population would suggest an ongoing differentiation of metal-tolerant genotypes in the most polluted sites of the sampling area."
" Sanionia uncinata","Bryophyte","Gene flow +  Genetic diversity assessment","","Antarctica","Hebel, I, Rudinger, MCD, Jana, RA, Bastias, J","2018","Genetic Structure and Gene Flow of Moss Sanionia uncinata (Hedw.) Loeske in Maritime Antarctica and Southern-Patagonia","Frontiers In Ecology And Evolution","6","Empirical paper","","","","Bryophytes are a major component of vegetation in ice-free coastal regions of Antarctica. Sanionia uncinata (Hedw.) Loeske is distributed from northern and central Maritime Antarctica to Marguerite Bay in the southern part of this biome where it occurs sparsely. Production of sporophytes is rare for S. uncinata in Antarctica, thus a high level of genetic uniformity among populations is expected (Lewis Smith, 1984). Several ice advances and retreats events in last thousands of years in Patagonia and Antarctica could have driven different processes of speciation at fine scale or triggered genetic differentiation among populations, leading to unique genetic populations. A few studies have analyzed the genetic structure of mosses in Antarctica, but none in Maritime Antarctica or in the nearby zones such as southern Patagonia. Based on Amplified Fragment Length Polymorphism (AFLP) and grouping analysis, we determined levels of intra/and inter-population genetic diversity of S. uncinata in sites of this region. The results revealed that gene diversity within populations was low and that populations did not have significant genetic differentiation. Also, no correlation was found between genetic variability and geographic distance (R-2 = 0.031). However, we distinguished two groups of populations. One of them clustered populations with low values of genetic diversity. The other one was made out of populations showing much higher genetic diversity. Cluster 1 was the most geographically widely distributed covering populations from northern part of southern Patagonia to southern part of studied populations in Maritime Antarctica. Cluster 2 had the highest level of polymorphism, but spatially is very restricted to four populations in the Maritime Antarctica and southern Patagonia. We found substructures in some populations of the Maritime Antarctica such as in the Coppermine, Byers and Suffield populations. The underlying causes of this subdivision could be the asexual reproduction and significant abiotic factor affecting the presence of this moss species, but also the autoecious condition of this species. The importance of results is the concept of genetic connectivity among bioregions of South Patagonia and Antarctica suggesting additionally this interaction may have occurred repeatedly after the LGM, resulting in the vegetation that grows in Antarctica today."
"Anastrophyllum alpinum","Bryophyte","Taxonomic clarification","Nuclear sequences +  Organelle sequences","Euro-Asian","Long, DG, Paton, JA, Squirrell, J, Woodhead, M, Hollingsworth, PM","2006"," Morphological, ecological and genetic evidence for distinguishing Anastrophyllum joergensenii Schiffn. and A. alpinum Steph. (Jungermanniopsida: Lophoziaceae)","Journal of Bryology","28: 108-117","Empirical paper","","","","The liverwort Anastrophyllum joergensenii Schiffn., reported from Norway, Scotland, Alaska and the Sino-Himalaya is shown to consist of two distinct species, A. alpinum Steph. (treated before as a synonym of A. joergensenii) in the Himalaya, western China, Alaska and Scotland, and A. joergensenii Schiffn. s. str. in Norway, Scotland and western China. The two species are distinguished on genetic characters, size, leaf and perianth characters, and appear to have different ecological preferences. Anastrophyllum alpinum, although the more widespread of the two in Scotland, is there known only as non-fertile plants, whereas in the Sino-Himalaya fertile populations and sporophytes are not infrequent; in contrast, the rarer A. joergensenii can produce perianths in Scotland, Norway and Yunnan but androecia and sporophytes are unknown. The differences between the two are detailed and the ecology and distribution outlined."
"Anastrophyllum joergensenii","Bryophyte","Taxonomic clarification","Nuclear sequences +  Organelle sequences","Euro-Asian","Long, DG, Paton, JA, Squirrell, J, Woodhead, M, Hollingsworth, PM","2006"," Morphological, ecological and genetic evidence for distinguishing Anastrophyllum joergensenii Schiffn. and A. alpinum Steph. (Jungermanniopsida: Lophoziaceae)","Journal of Bryology","28: 108-117","Empirical paper","","","","The liverwort Anastrophyllum joergensenii Schiffn., reported from Norway, Scotland, Alaska and the Sino-Himalaya is shown to consist of two distinct species, A. alpinum Steph. (treated before as a synonym of A. joergensenii) in the Himalaya, western China, Alaska and Scotland, and A. joergensenii Schiffn. s. str. in Norway, Scotland and western China. The two species are distinguished on genetic characters, size, leaf and perianth characters, and appear to have different ecological preferences. Anastrophyllum alpinum, although the more widespread of the two in Scotland, is there known only as non-fertile plants, whereas in the Sino-Himalaya fertile populations and sporophytes are not infrequent; in contrast, the rarer A. joergensenii can produce perianths in Scotland, Norway and Yunnan but androecia and sporophytes are unknown. The differences between the two are detailed and the ecology and distribution outlined."
"Aneura pinguis","Bryophyte","Taxonomic clarification","Organelle PCR RFLP +  Organelle sequences","European","Wachowiak, W Baczkiewicz, A Chudzinska, E Buczkowska, K","2007","Cryptic speciation in liverworts - a case study in the Aneura pinguis complex","Botanical Journal of the Linnaean Society","155: 273-282","Empirical Paper","","","","Bryophytes are amongst the most ancestral terrestrial plants and often have large distribution ranges across continents. Recent biochemical and molecular studies have suggested that many worldwide morphological species of bryophyte may represent genetically divergent and reproductively isolated cryptic species. We tested the cryptic species hypothesis in the thalloid liverwort Aneura pinguis complex. We applied analyses of chloroplast DNA (cpDNA) sequence variation and polymerase chain reaction-restriction fragment length polymorphism (PCR-RFLP) methods to discriminate between specimens of A. pinguis derived from various habitats in five distant geographical regions in Poland. Of the 19 specimens sequence characterized for the cpDNA tRNA(Leu) region, seven haplotypes were identified divided into three nonmonophyletic clusters. The application of developed PCR-RFLP markers confirmed the existence of three tRNA(Leu) types of A. pinguis (A-C) within the specimens derived from 21 populations. Sympatric populations of different tRNA(Leu) types were found in lowland and mountain regions. No clear correlation between stand type and the presence of two tRNA(Leu) types (A, B) was observed, as both were growing on soil, humus, and rocks. The tRNA(Leu) type C was found only on humus and its distribution was restricted to low-lying northern populations. The above results indicate that the A. pinguis complex is highly differentiated at the molecular level and may represent three cryptic species. (c) 2007 The Linnean Society of London."
"Atrichum angustatum","Bryophyte","Genetic diversity assessment","To confirm","","Cummins, H and Wyatt, R","1981","Genetic variability in natural populations of the moss Atrichum angustatum.","Bryologist","84: 30-38.","Empirical paper","","","",""
"Barbilophozia attenuata","Bryophyte","Spatial Genetic Structure","Nuclear microsatellite","European","Korpelainen H, von Craeutlein M, Laaka-Lindberg S, Huttunen S","2011","Fine-scale spatial genetic structure of a liverwort (Barbilophozia attenuata) within a network of ant trails","Evolutionary Ecology","25: 45-57","Empirical paper","","","","Fine-scale spatial genetic structure (SGS) of the liverwort, Barbilophozia attenuata, occupying an area characterized by a network of ant trails, was investigated using microsatellite markers. This is the first study investigating SGS in a liverwort. Significant genetic differentiation was detected among colonies along and outside ant trails, and the SGS pattern varied depending on the spatial scale. At short distances, kinship coefficients were significantly positive up to about eight meters, after which they approached zero and turned negative, while at distances greater than 25 m the values were about zero. Thus, nearby individuals are more closely related than expected, at mid-distances less related, and at great distances genotypes show a random distribution. We suggest that the reproductive mode strongly affects SGS in B. attenuata. Asexual propagation by relatively large gemmae allows more effective establishment than sexual reproduction by small-sized spores, and causes an aggregation of similar genotypes, although the inbreeding effect cannot be ruled out. In environments with small-scale disturbances, e.g., ant trails, gemmae are favoured over spores at establishment. Also, the diaspore bank of the forest floor can be activated by disturbances, which may affect SGS. At mid-distances, the isolation by distance effect, presumably related to comparatively ineffective gemma dispersal, is visible, while at greater distances, the role of spores as effective means of dispersal is evident. The Sp statistic values, which quantify the strength of SGS, indicate that outsider colonies possess less SGS than do plant colonies along ant trails, which relates to the more frequent spore production of outsider colonies. Moreover, dispersal from fallen logs or stumps may be more effective than dispersal from ground-level colonies along ant trails. Apparently, ants do not have much role as dispersal vectors, nor do the physical structures of ant trails as dispersal corridors, although they provide open areas for colonization."
"Bartramia ithyphylla","Bryophyte","DNA barcoding +  Gender Identification","Nuclear sequences +  Organelle sequences","Euro-North American","Hassel, KristianSegreto, Rossana, Ekrem, Torbjorn","2013","Restricted variation in plant barcoding markers limits identification in, closely related bryophyte species","Molecular Ecology Resources","13:1047-1057","Empirical paper","","","","Species-level identification and delimitation of bryophytes using the proposed general barcode markers for land plants has been challenging. Bryophyta (mosses) is the second most species-rich group of land plants after angiosperms, and it is thus of great importance to find useful barcoding regions also for this group of plants. We investigated how the plastid regions atpF-atpH, rbcL and trnH-psbA and the nuclear ITS2 region performed as barcode markers on closely related bryophyte taxa of selected moss (Bartramia, Distichium, Fissidens, Meesia and Syntrichia) and liverwort (Blepharostoma) genera from boreal and arctic regions. We also evaluated how sequencing success of herbarium specimens is related to length of the sequenced fragment, specimen age and taxonomic group. Sequencing success was higher for shorter fragments and younger herbarium specimens, but was lower than expected in the genera Distichium and Fissidens, indicating imperfect universality of the primers used. None of the studied DNA barcode regions showed a consistent barcode gap across the studied genera. As a single locus, the region atpF-atpH performed slightly better than rbcL and ITS2 and much better than trnH-psbA in terms of grouping conspecific sequences in monophyletic groups. This marker also gave a higher percentage of correct hits when conducting blast searches on a local database of identified sequences. Concatenated data sets of two and three markers grouped more conspecific sequences in monophyletic groups, but the improvement was not great compared with atpF-atpH alone. A discussion of recent studies testing barcode regions for bryophytes is given. We conclude that atpF-atpH, rbcL and ITS2 are to be the most promising barcode markers for mosses."
"Bartramia pomiformis","Bryophyte","DNA barcoding +  Gender Identification","Nuclear sequences +  Organelle sequences","Euro-North American","Hassel, KristianSegreto, Rossana, Ekrem, Torbjorn","2013","Restricted variation in plant barcoding markers limits identification in, closely related bryophyte species","Molecular Ecology Resources","13:1047-1057","Empirical paper","","","","Species-level identification and delimitation of bryophytes using the proposed general barcode markers for land plants has been challenging. Bryophyta (mosses) is the second most species-rich group of land plants after angiosperms, and it is thus of great importance to find useful barcoding regions also for this group of plants. We investigated how the plastid regions atpF-atpH, rbcL and trnH-psbA and the nuclear ITS2 region performed as barcode markers on closely related bryophyte taxa of selected moss (Bartramia, Distichium, Fissidens, Meesia and Syntrichia) and liverwort (Blepharostoma) genera from boreal and arctic regions. We also evaluated how sequencing success of herbarium specimens is related to length of the sequenced fragment, specimen age and taxonomic group. Sequencing success was higher for shorter fragments and younger herbarium specimens, but was lower than expected in the genera Distichium and Fissidens, indicating imperfect universality of the primers used. None of the studied DNA barcode regions showed a consistent barcode gap across the studied genera. As a single locus, the region atpF-atpH performed slightly better than rbcL and ITS2 and much better than trnH-psbA in terms of grouping conspecific sequences in monophyletic groups. This marker also gave a higher percentage of correct hits when conducting blast searches on a local database of identified sequences. Concatenated data sets of two and three markers grouped more conspecific sequences in monophyletic groups, but the improvement was not great compared with atpF-atpH alone. A discussion of recent studies testing barcode regions for bryophytes is given. We conclude that atpF-atpH, rbcL and ITS2 are to be the most promising barcode markers for mosses."
"Bryum argenteum","Bryophyte","Gender Identification","Non molecular","North American","Stark LR, McLetchie DN, Eppley SM","2010","Sex ratios and the shy male hypothesis in the moss Bryum argenteum (Bryaceae)","Bryologist ","113: 788-797","Empirical paper","","","","Bryophyte population sex ratios are predominately female-biased, at least with respect to plants expressing sexual structures. One hypothesis to explain this bias is that males produce sexual structures less often than females, but occur at similar frequencies, a hypothesis termed the "shy male hypothesis." Another nonexclusive possibility is that offspring sex ratios (as sporelings) are biased and populations retain this bias. To test these hypotheses, we examined sex ratios in expressing and nonexpressing shoots for the cosmopolitan moss Bryum argenteum collected in the field, and in shoots grown from spores in the lab. An examination of 154 collections of B. argenteum from native habitats and urban settings in the USA revealed that populations were significantly female-biased (>80% female). Male rarity was most pronounced in aridland regions of the Mojave Desert and California chaparral; males were significantly more common in altered urban habitats and in high elevation native habitats. When all shoots from clumps representing three mixed-sex, sporophytic populations were grown to sex expression, male nonexpressing shoots were not found to be significantly more abundant than expected based on the field expressing shoot sex ratio, lending little support to the "shy male hypothesis." Offspring sex ratios derived from sporelings were not significantly different from 1:1, thus not explaining the sharply female-biased population ratios observed in the field. We propose that factors between spore germination and adult maturation, including clonal dynamics, are causing the female-biased population and within-clump sex ratio imbalance of B. argenteum."
"Bryum argenteum","Bryophyte","Genetic diversity assessment","Nuclear sequences","European","Pisa, SergioWerner, Olaf, Vanderpoorten, Alain, Magdy, Mahmoud, Ros, Rosa M.","2013","ELEVATIONAL PATTERNS OF GENETIC VARIATION IN THE COSMOPOLITAN MOSS BRYUM ARGENTEUM (BRYACEAE)","American Journal Of Botany","100:2000-2008","Empirical paper","","","","Premise of the study: The Baas Becking tenet posits that 'everything is everywhere, but the environment selects' to explain cosmopolitan distributions in highly vagile taxa. Bryophyte species show wider distributions than vascular plants and include examples of truly cosmopolitan ranges, which have been interpreted as a result of high dispersal capacities and ecological plasticity. In the current study, we documented patterns of genetic structure and diversity in the cosmopolitan moss Bryum argenteum along an elevational gradient to determine if genetic diversity and structure is homogenized by intense migrations in the lack of ecological differentiation. Methods: 60 specimens were collected in the Sierra Nevada Mountains (Spain) between 100 and 2870 m and sequenced for ITS and rps4. Comparative analyses, genetic diversity estimators, and Mantel's tests were employed to determine the relationship between genetic variation, elevation, and geographic distance and to look for signs of demographic shifts. Key results: Genetic diversity peaked above 1900 m and no signs of demographic shifts were detected at any elevation. There was a strong phylogenetic component in elevational variation. Genetic variation was signifi cantly correlated with elevation, but not with geographic distance. Conclusions: The results point to the long-term persistence of Bryum argenteum in a range that was glaciated during the Late Pleistocene. Evidence for an environmentally driven pattern of genetic differentiation suggests adaptive divergence. This supports the Baas Becking tenet and indicates that ecological specialization might play a key role in explaining patterns of genetic structure in cosmopolitan mosses."
"Bryum neodamense","Bryophyte","Taxonomic clarification","To confirm","","Holyoak, DT, Hedenäs, L","2006"," Morphological, ecological and molecular studies of the intergrading taxa Bryum neodamense and B. pseudotriquetrum (Bryopsida: Bryaceae)","Journal of Bryology","28: 299-311","Empirical paper","","","","Studies of Bryum neodamense at most of its localities in the British Isles revealed that plants with morphology intermediate with B. pseudotriquetrum var. pseudotriquetrum frequently accompany B. neodamense. A survey of herbarium specimens found that similar intermediates are widespread in continental Europe and also occur in Asia, Alaska and Greenland. Phylogenetic analyses of DNA sequences from three loci imply that B. neodamense and intermediate plants are nested within the rather variable B. pseudotriquetrum. It is therefore concluded that, despite its striking morphological characters, B. neodamense is an inconstant phenotype of B. pseudotriquetrum, which occurs very locally in highly calcareous habitats that are subject to periodic inundation."
