Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Juniperus communis","Conifer","Genetic diversity assessment +  Phylogeography","AFLP","European","van der Merwe, M, Winfield, MO, Arnold, GM and Parker, JS","2000","Spatial and temporal aspects of the genetic structure of Juniperus communis populations.","Molecular Ecology","9: 379-386.","Empirical paper","","","","Juniperus communis is a dioecious, wind pollinated shrub or small tree that produces ‘berries’ (female cones) containing a small number of seeds that are thought to be dispersed by birds. The expectation, therefore, would be that populations of Juniper are genetically diverse with little structuring between them. In Britain, the species has two main centres of distribution: a highland zone in the north and west, in which populations are still large and sexually reproducing, and a southern zone on chalk downlands in which populations are small and fragmented and individuals suffer from a decline in fertility. Thus, one would expect the large sexually viable populations in the north to exhibit high levels of within-population genetic variation, while the declining southern populations would be genetically depauperate. The analysis of amplified fragment length polymorphisms (AFLPs) was used to test this hypothesis. Surprisingly, all populations studied showed high levels of genetic variation although there was clear structuring between populations. On the basis of the geographical structuring of the populations it was hypothesized that J. communis colonized Britain via three separate routes."
"Juniperus communis","Conifer","Genetic diversity & landscape management +  Genetic diversity assessment","To confirm","Country: Scotland","Davidson, F and Ennos, R A","1997","Assessment of genetic variation and genetic structure in fragmented juniper populations in the Scottish borders using DNA markers. Stages 2 and 3 - development and application of RAPD DNA markers.","Interim report (1/4/97) to Borders Forest Trust.","","Report","","Inst. Ecol. Res. Man., Univeristy of Edinburgh.","",""
"Juniperus communis","Conifer","Genetic diversity assessment","To confirm","","Marsden, A","1997","An assessment of genetic variation within and among juniper populations in the British Isles using molecular markers.","B.Sc. Thesis.","","Thesis","","University of Edinburgh.","Edinburgh.",""
"Juniperus communis","Conifer","Conservation +  Genetic diversity assessment","","Country: Scotland","Borders Forest Trust","1997","Assessment of genetic structure in fragmented juniper populations in the Scottish Borders using random amplified polymorphic DNA markers","Common juniper (Juniperus communis L.): a review of biology and status in the Scottish Borders","1: 16-22","Empirical paper","","","",""
"Juniperus communis","Conifer","Conservation +  Genetic diversity & landscape management +  Genetic diversity assessment","AS-PCR +  Nuclear microsatellite","Country: Ireland","Provan, J Beatty, GE Hunter, AM McDonald, RA McLaughlin, E Preston, SJ Wilson, S","2008","Restricted gene flow in fragmented populations of a wind-pollinated tree","Conservation Genetics","9: 1521-1532","Empirical Paper","","","","Fragmentation of natural populations can have negative effects at the genetic level, thus threatening their evolutionary potential. Many of the negative genetic impacts of population fragmentation can be ameliorated by gene flow and it has been suggested that in wind-pollinated tree species, high or even increased levels of gene flow are a feature of fragmented populations, although several studies have disputed this. We have used a combination of nuclear microsatellites and allele-specific PCR (AS-PCR) analysis of chloroplast single nucleotide polymorphisms (SNPs) to examine the levels and patterns of genetic diversity and population differentiation in fragmented populations of juniper (Juniperus communis) in Ireland and inform conservation programs for the species. Significant population differentiation was found for both chloroplast and nuclear markers, indicating restricted gene flow, particularly over larger geographic scales. For conservation purposes, the existence of genetically distinct clusters and geographically localised chloroplast haplotypes suggests that the concept of provenance should be taken into account when formulating augmentation or reintroduction strategies. Furthermore, the potential lack of seed dispersal and seedling establishment means that ex-situ approaches to seed and seedling management may have to be considered."
"Juniperus communis","Conifer","Genetic diversity assessment","Isozyme/Allozyme","European","Oostermeijer, JGB and De Knegt, B","2004","Genetic population structure of the wind-pollinated, dioecious shrub Juniperus communis in fragmented Dutch heathlands.","Plant Species Biology","19: 175-184.","Empirical paper","","","","The wind-pollinated, dioecious shrub Juniperus communis L. is declining in Dutch heathlands, mainly because recruitment is scarce. Aside from ecological factors, inbreeding associated with reduced population size and isolation in the currently fragmented landscape might explain this decline. However, the breeding system of this species largely prevents inbreeding. We assessed variation in 18 allozyme loci in 12 Dutch juniper populations to investigate population structure and to test the hypothesis that small populations have less genetic variation and show more inbreeding than large populations. Variation was high for a species with a fragmented distribution, but similar to values observed in other juniper species. The proportion of polymorphic loci ( P ) ranged between 0.72 and 0.83, expected heterozygosity ( H e ) ranged between 0.16 and 0.27 and the mean effective number of alleles per locus ( A ) ranged between 2.5 and 3.3. Population size was not correlated with genetic variation or with sex ratio. Deviations from Hardy– Weinberg expectations, mainly heterozygote deficiencies, were mostly observed in larger populations, which appear to have been broken up into smaller subunits. Differentiation among populations was small ( F ST = 0.026) and there was a significant departure from random mating ( F IS = 0.174). Geographic and genetic structures were not related. Our data suggest that gene flow in this wind-pollinated shrub was high during the establishment phase of the current populations. Gene exchange by pollen and seeds may be less extensive in the present-day landscape. However, juniper decline is not likely to be caused by genetic factors. Alternative hypotheses include changed heathland disturbance regimes, pollen limitation, seed predation and age-related fecundity reductions. Implications for the restoration of juniper populations are discussed."
"Juniperus communis","Conifer","Genetic diversity assessment +  Marker development","Nuclear microsatellite","European","Michalczyk, IM, Sebastiani, F, Buonamici, A, Cremer, E, Mengel, C, Ziegenhagen, B, Vendramin, GG","2006","Characterization of highly polymorphic nuclear microsatellite loci in Juniperus communis L.","Molecular Ecology Notes","6: 346-348","Empirical paper","","","","We developed five nuclear microsatellite markers in Juniperus communisL. Using an enriched library method. Samples from 28 juniper individuals were collected in Spain, Germany and Slovakia and were analysed at the five loci. A high level of allelic diversity withvalues ranging from nine to 23 alleles was found. These highly polymorphic markers will be used in ongoing population genetic studies to evaluate the genetic resources and to contribute to the maintenance of genetic diversity of juniper in Middle Europe."
"Juniperus communis","Conifer","Phylogeography","RAPD","Northern Hemisphere","Adams, RP, Pandey, RN, Leverenz, JW, Dignard,N, Hoegh, K and Thorfinnsson","2003","Pan-arctic variation in Juniperus communis: historical biogeography based on DNA fingerprinting","Biochemical Systematics and Ecology","31: 181-192","Empirical paper","","","","Twelve populations of Juniperus communis L. were sampled from throughout the arctic, worldwide and DNA fingerprinting (RAPDs, Random Amplified Polymorphic DNAs) was performed. Based on 152 RAPD bands, all of the populations (J. communis var. depressa Pursh and J. communis vane megistocarpa Fern. and St. John) from the western hemisphere formed one group and all of the populations of the eastern hemisphere (including Greenland and Iceland), formed another group that included J; communis var. communis and J. communis var. saxatilis Pall., except for the Kamchatka population that was quite dissimilar to any population examined. Most likely, the current sites of all, of the populations were covered with ice or otherwise inhospitable, up to or during. the late Pleistocene (ca. 12,000 BP). Therefore, these populations are recent in origin. The path of re-colonization appears to have been northward in North America. Greenland appears to have been colonized from Iceland plants, which in turn came from northern Europe. The Kamchatka population seems likely to have come from Japan."
"Juniperus communis","Conifer","Taxonomic clarification","RAPD","Northern Hemisphere","Adams, RP and  Pandey, RN","2003","Analysis of Juniperus communis and its varieties based on DNA fingerprinting","Biochemical Systematics and Ecology","31: 1271-1278","Empirical paper","","","","Plants of Juniperus communis L. var. communis, J. c. var. depressa Pursh, J. c. var. hemispherica J. & C. Presl, J. communis var. megistocarpa Fern. & St. John, J. c. var. nipponica (Maxim.) Wils., J. c. var. oblonga hort. ex Loudon and J. c. var. saxatilis Pall. were sampled and DNA fingerprinting (RAPDs, Random Amplified Polymorphic DNAs) was performed. Based on 191 RAPD bands, there was little evidence to support the recognition of J. communis var. hemispherica, J. c. var. oblonga and J. c. var. nipponica. Juniperus communis var. communis (Sweden) was found to be most similar to J. c. var. hemispherica from Sicily, and also very similar to J. c. var. saxatilis. The recognition of J. c. var. saxatilis, sensu stricto, and var. hemispherica (from Sicily) was not supported by the RAPD data in this study. All of the J. c. var. depressa populations sampled from the Western Hemisphere formed a distinct group. Juniperus communis var. megistocarpa, endemic to maritime eastern Canada, was the most distinct variety of J. communis. Juniperus communis var. "saxatilis" populations from the Kamchatka peninsula and J. c. var. "hemispherica" from the Sierra Nevada, Spain, were very distinct from other J. c. var. communis-saxatilis populations."
"Juniperus communis","Conifer","Genetic diversity assessment","RAPD","Asian","Kasaian J, Behravan J, Hassany M, Emami SA, Shahriari F, Khayyat MH","2011","Molecular characterization and RAPD analysis of Juniperus species from Iran","Genetics and Molecular Research ","10: 1069-1074","Empirical paper","","","","The genus Juniperus L. (Cupressaceae), an aromatic evergreen plant, consists of up to 68 species around the world. We classified five species of Juniperus found in Iran using molecular markers to provide a means for molecular identification of Iranian species. Plants were collected (three samples of each species) from two different provinces of Iran (Golestan and East Azarbayejan). The DNA was extracted from the leaves using a Qiagen Dneasy Plant Mini Kit. Amplification was performed using 18 ten-mer RAPD primers. Genetic distances were estimated based on 187 RAPD bands to construct a dendrogram by means of unweighted pair group method of arithmetic means. It was found that J. communis and J. oblonga were differentiated from the other species. Genetic distance values ranged from 0.19 (J. communis and J. oblonga) to 0.68 (J. communis and J. excelsa). Juniperus foetidissima was found to be most similar to J. sabina. Juniperus excelsa subspecies excelsa and J. excelsa subspecies polycarpos formed a distinct group."
