Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
" Linnaea borealis","Flowering plant","Breeding system +  Genetic diversity assessment","","Euro-Asian","Wroblewska, Ada","2013","The phylogeographical and population genetic approach to the investigation of the genetic diversity patterns in self-incompatible clonal and polyploid Linnaea borealis subsp borealis","Botanical Journal Of The Linnean Society","173:64-76","Empirical paper","","","","Surveys of genetic diversity patterns of self-incompatible clonal polyploid plant species are still scarcer than those of diploid plant species. Therefore, I studied the phylogeographical history of Linnaea borealis subsp. borealis to shed light on the colonization history of this clonal self-incompatible polyploid plant in Eurasia using selected regions of plastid DNA and genetic diversity patterns of 22 populations of this species employing AFLP markers. I also addressed the question of whether the genetic diversity patterns in L.borealis subsp. borealis in Eurasia are similar to those of earlier published studies of clonal self-incompatible diploid or polyploid plants. This survey revealed that the shallow phylogeographical history (six plastid haplotypes forming one haplogroup, 100% bootstrap support) and moderate genome-wide diversity estimated using AFLP markers (Frag(poly)=10.8-38.9%, I=0.060-0.180, F-ST=0.289) were general characteristics of L.borealis subsp. borealis in its Eurasian range. The sampling strategy, in most cases at 1-2-m or even 3-5-m intervals, showed that a balance between vegetative and sexual reproduction and limited pollen dispersal among compatible mates can be important for genetic diversity patterns in populations of this taxon. Despite the fact that one-half of the investigated populations were strongly isolated, they still preserved similar levels of genetic diversity across the geographical range. I found no support for the hypothesis that a bottleneck and/or inbreeding had accompanied habitat fragmentation as factors shaping genetic diversity."
"Aceras anthropophorum","Flowering plant","Taxonomic clarification","Organelle PCR RFLP","","Cozzolino, S, Aceto, S, Caputo, P, Gaudio, L and Nazzaro, R","1998","Phylogenetic relationships in Orchis and some related genera: an approach using chloroplast DNA.","Nordic Journal of Botany","18: 79-87.","Empirical paper","","","","A chloroplast DNA restriction fragment length polymorphism analysis has been carried out on representatives species of Orchis (Orchidaceae) and of the allied genera Aceras, Dactylorhiza, and Anacamptis. One species of Cephalanthera and one of Serapias were used as outgroups. The consensus tree from a cladistic analysis showed that Orchis, as presently defined, is paraphyletic, as it contains also Aceras anthropophorum and Dactylorhiza saccifera. The genus Orchis is divided in two clades: one including O. laxiflora, O. papilionacea, O. coriophora, and O. morio in a ladderized sequence, the other showing D. saccifera at the base, followed by a clade in which a collapse of O. mascula, O. pauciflora, O. quadripunctata is sister group to a clade composed by O. italica, O. simia, and A. anthropophorum. These results, which agree to a great extent with literature evidence on chromosomes and isozymes, have been compared with various traditional systematic hypotheses for the genus."
"Alisma gramineum","Flowering plant","Genetic diversity assessment","Isozyme/Allozyme","","Triest, L and Roelandt, B","1991","Isozymes in diploid and polyploid Alisma species (Alismatatceae).","Isozymes in water plants","27-36.","Empirical paper","Triest L.","National Botanic Garden of Belgium.","Meise.",""
"Allium oleraceum","Flowering plant","Clonal diversity assessment +  Genetic diversity assessment","","European","Duchoslav, Martin, Stankova, Hana","2015","Population genetic structure and clonal diversity of Allium oleraceum (Amaryllidaceae), a polyploid geophyte with common asexual but variable sexual reproduction","Folia Geobotanica","50:123-136","Empirical paper","","","","Clonal plants are, on average, considered to be as genetically diverse as nonclonal plants. However, the behaviour of clonal plants ranges between multiclonality and uniclonality, depending on environmental conditions and life history traits. Allozyme electrophoresis of band phenotypes was used to examine the genetic structure of 13 cytotype-uniform and 17 cytotype-mixed populations of polyploid Allium oleraceum (2n = 4x, 5x, 6x), a clonal bulbous geophyte that has been considered seed-sterile and completely reliant on vegetative reproduction through aerial bulbils and daughter bulbs. The genetic structure was dominated by low within-population variation whereas genetic differentiation was high among populations. Eighty-five distinct multilocus genotypes were found among 756 sampled individuals, but populations generally exhibited a low level of clonal diversity. Tetra- and pentaploids showed twofold higher total and within-population diversity, but also had more genetically differentiated populations in comparison with hexaploids. Tetraploids formed two separate groups in the cluster analysis, and this finding most likely suggests their different origin. Pentaploids were grouped in a separate cluster and frequently intermixed with tetra- and hexaploids sampled at cytotype-mixed sites. Such a pattern suggests gene flow between cytotypes. Most hexaploids were genetically similar and clustered separately from the other cytotypes, suggesting their similar origin and absence of gene flow to and from other cytotypes. Identical band phenotypes found in coexisting cytotypes within certain mixed-ploidy populations might indicate in situ neopolyploidization. Collectively, the pattern of genetic structure and diversity observed in A. oleraceum is typical of clonal plants with the dominance of vegetative offspring and scarce recruitment of sexual offspring. The low and spatially unstructured genetic variation observed in hexaploids, in contrast with higher and spatially structured genetic variation in tetra- and pentaploids, seems to be related to different levels of sexual fertility, ecological amplitude and colonization abilities of the cytotypes. It provides evidence for the existence of both primary and secondary contact zones of cytotypes in A. oleraceum."
"Allium oleraceum","Flowering plant","Polyploidy","","European","Duchoslav, M, Fialova, M, Jandova, M","2017","The ecological performance of tetra-, penta- and hexaploid geophyte Allium oleraceum in reciprocal transplant experiment may explain the occurrence of multiple-cytotype populations","Journal Of Plant Ecology","10:569-580","Empirical paper","","","","Aims Many polyploids are geographically separated from their lower-ploidy progenitors at a variety of spatial scales. Diverse adaptive and non-adaptive mechanisms have been suggested to contribute to these spatial patterns. A long-standing hypothesis holds that polyploids are established and persist due to specialization to different ecological conditions compared to their progenitors. However, experimental approaches testing this hypothesis remain rare. Empirical evidence for niche differences among ploidy levels has been found previously for the European polyploid geophyte Allium oleraceum. Here, we conducted a 5-year reciprocal transplant experiment with tetraploid, pentaploid and hexaploid A. oleraceum to test for adaptation at the ploidy and population levels. Methods In 2006, we sowed 2160 aerial bulbils among six sites (two per cytotype, central and western Moravia, the Czech Republic) and monitored their emergence in 2007, their survival until 2011 and their performance in 2011. Important Findings The emergence of bulbils was high at all target sites, and no evidence for niche differentiation among cytotypes was recorded in the first year. Survival in the following years was relatively high, but significantly better survival for plants of home ploidy than foreign ploidy was recorded. No plant reached the reproductive stage during our experiment. Adopting a strict definition of local adaptation, local plants only rarely performed better than foreign plants at both sites in pairwise comparisons within a cytotype. Together, our results suggest weak niche differentiation among cytotypes and provide limited support for the existence of local adaptation within cytotypes. Thus, all cytotypes are able to establish in habitats typically populated by other cytotypes via aerial bulbil spread, but will likely die out gradually in non-native habitats. This ability may explain the occurrence of some multiple-cytotype populations. The complex spatial pattern of A. oleraceum cytotypes is therefore the result of several interacting factors, including niche differentiation among cytotypes, the different evolutionary ages of cytotypes, the existence of gene flow between and within cytotypes, the dominance of clonality and stochastic events linked to anthropogenic dispersal and disturbance."
"Anagallis minima","Flowering plant","Taxonomic clarification","Nuclear sequences +  Organelle sequences","","Manns, U and Anderberg, AA","2005","Molecular phylogeny of Anagallis (Myrsinaceae) based on ITS, trnL-F and ndhF sequence data","International Journal of Plant Sciences","166: 1019-1028","Empirical paper","","","","The phylogeny of Anagallis was elucidated by analysis of sequences from nuclear ribosomal ITS and two chloroplast regions, ndhF and trnL-F. The study included 20 species from the genus Anagallis; two species each of the three small genera Asterolinon, Pelletiera, and Trientalis; and 21 Lysimachia species. The result of a combined analysis using all sequences supports an Anagallis clade that also includes Asterolinon and Pelletiera as well as two Lysimachia species, Lysimachia nemorum and Lysimachia serpyllifolia, making Anagallis paraphyletic in its present circumscription. The clade was not found when analyzing separate data sets. The result contradicts earlier studies that indicate a distant relationship between Anagallis s. str. and Anagallis minima (Centunculus) and a close relationship between L. nemorum, Lysimachia nummularia, and Lysimachia punctata. We also found strong support for a large monophyletic group of Lysimachia species, including the monotypic genus Glaux, and for a basal placement of Lysimachia ciliata and Lysimachia quadrifolia in the tribe."
"Apera spica-venti","Flowering plant","Genetic diversity assessment","To confirm","Euro-North American","Warwick, SI, Thompson, BK, Black, LD","1987","Genetic variation in Canadian and European populations of the colonizing weed species Apera spica-venti.","New Phytologist","106: 301-317.","Empirical paper","","","",""
"Apium repens","Flowering plant","Taxonomic clarification","RAPD","EuropeanLocal: English vice-county area","Grassly, NC, Harris, SA and Cronk, QCB","1996","British Apium repens (Jacq.) Lag. (Apiaceae) status assessed using random amplified polymorphic DNA (RAPD).","Watsonia","21: 103-111.","Empirical paper","","","",""
"Arabis alpina","Flowering plant","Phylogeography","Organelle sequences","African","Assefa, A Ehrich, D Taberlet, P Nemomissa, S Brochmann, C","2007","Pleistocene colonization of afro-alpine 'sky islands' by the arctic-alpine Arabis alpina","Heredity","99: 133-142","Empirical Paper","","","","The afro-alpine region comprises the high mountains of Ethiopia and tropical East Africa, which represent biological 'sky islands' with high level of endemism. However, some primarily arctic-alpine plants also occur in the afro-alpine mountains. It has been suggested that these plants are Tertiary relicts, but a recent worldwide study of Arabis alpina suggests that this species colonized the region twice during the Pleistocene. Here we investigate the detailed colonization history of A. alpina in the afro-alpine region based on chloroplast DNA sequences from 11 mountain systems. The results confirm the twice-into-Africa scenario. The Asian lineage is confined to the mountains closest to the Arabian Peninsula, on opposite sides of the Rift Valley (Simen Mts and Gara Muleta in Ethiopia), suggesting long-distance dispersal of this lineage. The African lineage is divided into two phylogeographic groups with distinct geographic distribution. The observed pattern is consistent with isolation of the African lineage in at least two interglacial refugia, located on separated highlands, followed by range expansion in cooler period(s), when the afro-alpine habitat extended further down the mountains. Several long-distance dispersal events, also across the Rift Valley, are suggested by single haplotypes observed outside the area occupied by the phylogeographic groups they belonged to."
"Arabis alpina","Flowering plant","Genetic diversity & landscape management +  Genetic diversity assessment +  Phylogeography","AFLP","Euro-African","Ehrich, D Gaudeul, M Assefa, A Koch, MA Mummenhoff, K Nemomissa, S Consortium, I Brochmann, C","2007","Genetic consequences of Pleistocene range shifts: contrast between the Arctic, the Alps and the East African mountains","Molecular Ecology","16: 2542-2559","Empirical Paper","","","","In wide-ranging species, the genetic consequences of range shifts in response to climate change during the Pleistocene can be predicted to differ among different parts of the distribution area. We used amplified fragment length polymorphism data to compare the genetic structure of Arabis alpina, a widespread arctic-alpine and afro-alpine plant, in three distinct parts of its range: the North Atlantic region, which was recolonized after the last ice age, the European Alps, where range shifts were probably primarily altitudinal, and the high mountains of East Africa, where the contemporary mountain top populations result from range contraction. Genetic structure was inferred using clustering analyses and estimates of genetic diversity within and between populations. There was virtually no diversity in the vast North Atlantic region, which was probably recolonized from a single refugial population, possibly located between the Alps and the northern ice sheets. In the European mountains, genetic diversity was high and distinct genetic groups had a patchy and sometimes disjunct distribution. In the African mountains, genetic diversity was high, clearly structured and partially in accordance with a previous chloroplast phylogeography. The fragmented structure in the European and African mountains indicated that A. alpina disperses little among established populations. Occasional long-distance dispersal events were, however, suggested in all regions. The lack of genetic diversity in the north may be explained by leading-edge colonization by this pioneer plant in glacier forelands, closely following the retracting glaciers. Overall, the genetic structure observed corresponded to the expectations based on the environmental history of the different regions."
