Species,Organism type,Study type,Molecular marker,Scale of study,Author,Year,Title,Journal,Volume/Pages,Type of publication,Editors,Publishers,City,Abstract
"Capsella bursa-pastoris","Flowering plant","Genetic diversity assessment","Nuclear microsatellite","Worldwide","Ceplitis A, Su YT and Lascoux M","2005","Bayesian inference of evolutionary history from chloroplast microsatellites in the cosmopolitan weed Capsella bursa-pastoris (Brassicaceae)","Molecular Ecology","14: 4221-4233","Empirical paper","","","","Besides showing an extraordinary degree of phenotypic variability, Capsella bursa-pastoris (Brassicaceae) is also one of the world's most common plant species and a serious weed in many countries. We have employed a coalescent-based Bayesian analysis of chloroplast microsatellite data to infer demographic and evolutionary parameters of this species. Two different demographic models applied to data from seven chloroplast microsatellite loci among 59 accessions show that the effective population size of C. bursa-pastoris is very small indicating a rapid expansion of the species, a result that is in accordance with fossil and historical data. Against this background, analysis of flowering time variation among accessions suggests that ecotypic differentiation in flowering time has occurred recently in the species' history. Finally, our results also indicate that mononucleotide repeat loci in the chloroplast genome can deteriorate in relatively short periods of evolutionary time."
"Capsella bursa-pastoris","Flowering plant","Genetic diversity assessment","RAPD","Euro-North American","Neuffer, B","1996","RAPD analyses in colonial and ancestral populations of Capsella bursa-pastoris (L) Med (Brassicaceae).","Biochemical Systematics and Ecology","24: 393-403.","Empirical paper","","","","Capsella bursa-pastoris is a neophyte in the New World. It arrived in California not before 200 years ago. Thirteen populations from California, seven from Spain and one from Germany were analyzed with RAPDs in order to trace the introduction history and to study the structure of the colonial populations. The results not only supported earlier hypotheses on the colonization of Capsella which were based in isozyme studies (Hurka, 1993; Hurka ef al, 1989) and phenotypic traits (Hurka and Neuffer, 1991), but helped also to understand the colonization history in more detail. Overall similarity in RAPD markers was greater between Californian Central Valley and Spanish populations than it was between Central Valley and Californian mountain populations. It is concluded that genotypes preadapted to Mediterranean climate conditions were brought to California by Spaniards from Mexico. Their ancestral populations might be found in Spain which is strongly argued far by RAPD markers. They now occupy the Central Valley of California. The Californian mountains are colonized by other genotypes, the source of which is not yet clear, but unlikely to be of Mediterranean climate origin. In general, colonial Californian populations are genetically less variable than the European populations, but more variable than one would conclude by isozyme studies. Population structures of the colonial populations as revealed by RAPD studies are in full accordance with the expected organization of genetic variability within and between populations of a predominantly self colonizing plant."
"Capsella bursa-pastoris","Flowering plant","Genetic diversity assessment","To confirm","European","Neuffer, B, Bartelheim, S","1989","Genetic ecology of Capsella bursa-pastoris from an altitudinal transsect in the alps.","Oecologia","81: 521-527.","Empirical paper","","","",""
"Capsella bursa-pastoris","Flowering plant","","Isozyme/Allozyme","Euro-North American-Asian","Neuffer, B, Hurka, H","1999","Colonization history and introduction dynamics of Capsella bursa-pastoris (Brassicaceae) in North America: isozymes and quantitative traits.","Molecular Ecology","8: 1667-1681.","Empirical paper","","","","Multilocus isozyme genotypic composition for aspartate aminotransferase (AAT), leucine aminopeptidase (LAP) and glutamate dehydrogenase (GDH) was studied for Capsella in the source continent, Europe (9000 plants from 593 populations), and in the colonized continent, North America (2700 plants from 88 populations). North America was depauperate in the number of genotypes (by approximate to 50%), but in terms of frequencies, a few genotypes were common and shared by both continents. Although some, very rare, genotypes were, however, unique for North America, our data provided no evidence to indicate that the introduced gene pools were reconstructed on a multilocus genetic basis after introduction. Instead, they argued for a considerable number of independent introduction events. Geographical distribution patterns of multilocus genotypes in Europe and North America were pronounced and enabled us to trace the colonization history of Californian Capsella back to Spanish ancestral populations and those of temperate North America back to temperate European gene pools. A random-block field experiment with 14 Californian populations from different climatic regions revealed that variation patterns of quantitative traits reflect ecotypic variation, and the ecological amplitude of Capsella in North America is similar to that in Europe, which can be traced back to the introduction of preadapted genotypes. It appears that certain multilocus isozyme genotypes are associated with certain ecotypes. The variable European gene pool of Capsella was essentially introduced into North America without major genetic changes."
"Capsella bursa-pastoris","Flowering plant","Genetic diversity assessment","RAPD","","Yang, YW, Kuo, WHJ, Wong, TH","1998","Genetic polymorphism of seven populations of Capsella bursa-pastoris based on RAPD markers.","Botanical Bulletin of Academia Sinica","39: 17-21.","Empirical paper","","","","Capsella bursa-pastoris is considered to be a potential vegetable crop. Together with two accessions of mustard (Brassica juncea) as outgroups, seven populations of C. bursa- postoris were used to study genetic polymorphism using random amplified polymorphic DNA (RAPD) markers. Using 12 primers, a total of 158 RAPD markers were selected among these populations. Among them, 91 are either specific for C. bursa- postris or present in both C. bursa-postoris and B. juncea. In Capsella populations, 40 RAPD markers are polymorphic, 5 markers are population specific, and 46 markers are monomorphic with variation of banding density. Each RAPD marker was treated as either having unweighted character ol weighted character. Using UPGMA for cluster analysis, the polymorphic tree structures based on unweighted and weighted character have a similar phylogenetic relationship among these tested populations. With one exception, the phylogenetic relationship of Taiwan origin is correlated with the geographical distribution of these populations. These results may provide us information of genetic variation to be used in a varietal development program and to find specific markers linked to important traits."
"Capsella bursa-pastoris","Flowering plant","","Isozyme/Allozyme +  RAPD","Euro-South American","Neuffer, B, Hirschle, S, Jager, S","1999","The colonizing history of Capsella in Patagonia (South America) - Molecular and adaptive significance.","Folia Geobotanica","34: 435-450.","Empirical paper","","","","Twenty-two provenances of Capsella bursa-pastoris (Brassicaceae) from Patagonia and Tierra del Fuego and 13 provenances from the middle part of South America have been investigated for phenotypic traits (flowering, growth form parameters, fruit characters), isozymes (AAT, GDH, LAP), and RAPDs. Capsella is native to Europe and was introduced into South America in the 16th century. In Patagonia, we detected 23 different multilocus associations, but only five occurred in a frequency of more than 5%. By comparison with the geographic distribution patterns of multilocus genotypes in Europe, we inferred the ancestral European gene pools and the possible introduction routes. A particular multilocus genotype (MMG) was most frequent in the investigated area, and is native to the Iberian Peninsula. This genotype was with all probability introduced by Spaniards into central and northern South America, and it could have reached Patagonia from the north step by step. Other genotypes probably used a direct route from Europe, most likely via British sheep farmers in the second half of the 19th century. Rare genotypes in Patagonia may have been introduced recently by chance, or might be due to multilocus rearrangements in connection with rare outcrossing events. RAPD markers helped to trace colonial gene pools outside Europe and ancestral European gene pools and support the isozyme studies. Correlations between the life history traits and allozyme markers give evidence of the role adaptation may play in the colonizing process."
"Capsella bursa-pastoris","Flowering Plant","Genetic diversity assessment","AFLP +  Isozyme/Allozyme","European","Hameister, S Neuffer, B Bleeker, W","2009","Genetic differentiation and reproductive isolation of a naturally occurring floral homeotic mutant within a wild-type population of Capsella bursa-pastoris (Brassicaceae)","Molecular Ecology","32: 24-30","Empirical Paper","","","","Apart from the common floral architecture in Brassicaceae, variation in
 flower morphology occurs in several genera within the family and is
 considered to affect speciation processes. We analysed genetic
 differentiation and flowering time variation of two floral variants of
 Capsella bursa-pastoris, the Spe variant and the wild-type, which occur
 sympatrically in a vineyard in southwest Germany. The Spe variant is
 characterized by an additional whorl of stamens instead of petals and
 was formerly classified as an independent taxon 'Capsella apetala'
 Opiz. Amplified fragment length polymorphism and allozyme analysis
 revealed a substantial genetic differentiation of the two floral
 variants and a higher genetic variation within the wild-type
 subpopulation compared with the Spe subpopulation. The low genetic
 variation in the mutant provided evidence of a recent local origin or
 recent introduction. Flowering time analysis indicated that, within the
 analysed population, the Spe variant flowers significantly later than
 the wild-type (P < 0.001). We conclude that the evolution and
 persistence of Spe within a wild-type population is facilitated by high
 selfing rates and been enhanced by a shift in flowering phenology.
 Hence, our data provide substantial evidence that the Spe phenotype has
 established itself as an isolated entity within a wild-type population
 and may thus serve as a model for the analysis of the evolutionary
 significance of homeotic mutants in wild populations."
"Capsella bursa-pastoris","Flowering Plant","Genecology","Non molecular","AsianEuropeanNorth American","Orsini F, D'Urzo MP, Inan G, Serra S, Oh DH, Mickelbart MV, Consiglio F, Li X, Jeong JC, Yun DJ, Bohnert HJ, Bressan RA, Maggio A","2010","A comparative study of salt tolerance parameters in 11 wild relatives of Arabidopsis thaliana","Journal of Experimental Botany","61: 3787-3798","Empirical paper","","","","Salinity is an abiotic stress that limits both yield and the expansion of agricultural crops to new areas. In the last 20 years our basic understanding of the mechanisms underlying plant tolerance and adaptation to saline environments has greatly improved owing to active development of advanced tools in molecular, genomics, and bioinformatics analyses. However, the full potential of investigative power has not been fully exploited, because the use of halophytes as model systems in plant salt tolerance research is largely neglected. The recent introduction of halophytic Arabidopsis-Relative Model Species (ARMS) has begun to compare and relate several unique genetic resources to the well-developed Arabidopsis model. In a search for candidates to begin to understand, through genetic analyses, the biological bases of salt tolerance, 11 wild relatives of Arabidopsis thaliana were compared: Barbarea verna, Capsella bursa-pastoris, Hirschfeldia incana, Lepidium densiflorum, Malcolmia triloba, Lepidium virginicum, Descurainia pinnata, Sisymbrium officinale, Thellungiella parvula, Thellungiella salsuginea (previously T. halophila), and Thlaspi arvense. Among these species, highly salt-tolerant (L. densiflorum and L. virginicum) and moderately salt-tolerant (M. triloba and H. incana) species were identified. Only T. parvula revealed a true halophytic habitus, comparable to the better studied Thellungiella salsuginea. Major differences in growth, water transport properties, and ion accumulation are observed and discussed to describe the distinctive traits and physiological responses that can now be studied genetically in salt stress research."
"Capsella bursa-pastoris","Flowering Plant","Marker development","Nuclear microsatellite","European","Caullet CML, Pernin F, Poncet C, Le Corre V.","2011","DEVELOPMENT OF MICROSATELLITE MARKERS IN CAPSELLA RUBELLA AND CAPSELLA BURSA-PASTORIS (BRASSICACEAE)","American Journal of Botany","98: E176-E179","Empirical paper","","","","Premise of the study: We developed microsatellite markers to investigate genetic diversity within and among populations of Capsella rubella and Capsella bursa-pastoris and between these two species. Methods and Results: Fourteen polymorphic microsatellite loci were identified in the two species and one more polymorphic microsatellite locus only in C. rubella. Samples from different European localities were genotyped. Up to six alleles per locus were observed in C. rubella, and up to 22 alleles per locus in C. bursa-pastoris. Observed heterozygosities were low, indicating high selfing rates, especially in C. rubella. Conclusions: The results provide valuable information on genetic diversity for future studies of population genetics in C. rubella and C. bursa-pastoris."
"Capsella bursa-pastoris","Flowering Plant","Genecology +  Genetic diversity assessment","Isozyme/Allozyme +  Non molecular","Euro-North American-Asian","Neuffer B","2011","Native range variation in Capsella bursa-pastoris (Brassicaceae) along a 2500 km latitudinal transect","Flora","206: 107-119","Empirical paper","","","","Capsella bursa-pastoris (L) Medik. is a self compatible tetraploid annual species which has successfully spread to most continents and is mostly confined to man-made habitats. The colonising success may be associated with fine-scaled ecotypic differentiation, and regional adaptation. Seeds of 377 individuals from 40 provenances were collected over a distance of more than 2500 km from the Kola Peninsula in the north to the Caspian Sea in the south in Russia and from northern to southern Scandinavia. 3558 progenies were investigated in common garden field experiments in order to distinguish between phenotypic variability and genetic variation of quantitative life-history traits (onset of flowering, rosette diameter, leaf type, plant height, and branching and fruit characters). Genetic diversity and population structure was examined with isozyme analysis. Along both transects, Capsella showed clinal differentiation in phenotypic traits: e.g., the most northern and most southern provenances flowered earlier than the provenances from in between. A highly significant quadratic correlation exists between morphological traits and the degree of latitude. Distribution of leaf types showed no geographical pattern, unlike that observed for other regions. Allozyme variation follows a pattern of isolation by distance."
